disease,main_link,Diagnosis_treatment_link,Doctors_departments_link,Diagnosis,Treatment,Coping and support,Preparing for your appointment
Dry socket,https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376,https://www.mayoclinic.org/diseases-conditions/dry-socket/diagnosis-treatment/drc-20354382,,"Severe pain following tooth removal is often enough for your dentist or oral surgeon to suspect dry socket. You'll likely be asked if you have any other symptoms. Your dentist or oral surgeon can check your mouth to see if you have a blood clot in your tooth socket or if you have lost the clot and have exposed bone.
You may need X-rays of your mouth and teeth to rule out other conditions, such as a bone infection. The X-rays also can show if you have small pieces of tooth root or bone remaining in the site after surgery.","Treatment of dry socket focuses on reducing symptoms, especially pain. Treatment may include:
Flushing out the socket.Your dentist or oral surgeon may flush out the socket to remove any food bits or other loose materials that may add to pain or possible infection.
Dressing with medicine.Your dentist or oral surgeon may pack the socket with medicated gel or paste and a dressing. These can provide quick pain relief. Whether you need dressing changes and how often and whether you need other treatment depends on how severe your pain and other symptoms are.
Pain medicine.Ask which pain medicine is best for you. You'll likely need a prescription pain medicine.
Self-care.Once your dentist or oral surgeon takes out the dressing, you may need to flush the socket at home to keep it clean and improve healing. Your dentist or oral surgeon can give you instructions. You may get a plastic syringe with a curved tip to squirt water, salt water or a prescription rinse into the socket.
Once treatment starts, you may begin to feel some pain relief. Pain and other symptoms should continue to improve and will likely be gone within a few days. Even when you're feeling better, keep scheduled appointments with your dentist or oral surgeon for dressing changes and other care.",,See your dentist or oral surgeon as soon as possible if you have new pain or pain that gets worse after a tooth removal.
Atypical genitalia,https://www.mayoclinic.org/diseases-conditions/atypical-genitalia/symptoms-causes/syc-20369273,https://www.mayoclinic.org/diseases-conditions/atypical-genitalia/diagnosis-treatment/drc-20369278,,"Atypical genitalia is usually diagnosed at birth or shortly after. Sometimes, healthcare professionals may suspect atypical genitalia during pregnancy when results of blood tests of the unborn baby's sex differ from the ultrasound imaging of the baby's genitalia. But generally, the diagnosis is not made until after birth. Healthcare professionals who help with delivery may notice the signs of atypical genitalia in your newborn.","The goal of treatment is long-term mental health and social well-being, as well as having as much sexual function and fertility as possible. When to begin treatment depends on your child's specific situation.
Atypical genitalia is complex and not common. Managing it may require a team of experts. The team might include:
Pediatricians.
Experts in newborns born early or with medical conditions, also called neonatologists.
Experts in children's urinary systems, also called pediatric urologists.
Pediatric general surgeons.
Experts in the body's hormones, also called endocrinologists.
Medical geneticists.
Mental health professionals, such as psychologists or social workers.","If your baby has atypical genitalia, you may worry about the baby's future. Mental health professionals can help you deal with this difference that you didn't expect. Ask your child's healthcare professional for a referral to a mental health professional who has experience helping people in your situation. You also may find it helpful to join a support group, either in person or online.
Your child may find ongoing counseling by mental health professionals helpful and may choose to be a part of support groups into adulthood.
Not knowing the sex of your newborn right away might turn a hoped-for celebration into a stressful time. Your medical team can provide you with updates and information as quickly as possible. They also can answer questions and talk with you about your child's health.
Consider waiting to make a formal announcement of the birth until testing is done and you've created a plan with advice from your medical team. Give yourself some time to learn and think about your child's condition before answering questions from family and friends.","If your baby is born with atypical genitalia, you may be referred to a medical center with doctors and other healthcare professionals who have expertise in managing this condition. Here's some information to help you get ready for your appointment and learn what to expect."
Lazy eye (amblyopia),https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391,https://www.mayoclinic.org/diseases-conditions/lazy-eye/diagnosis-treatment/drc-20352396,https://www.mayoclinic.org/diseases-conditions/lazy-eye/doctors-departments/ddc-20352397,"Your doctor will conduct an eye exam, checking for eye health, a wandering eye, a difference in vision between the eyes or poor vision in both eyes. Eyedrops are generally used to dilate the eyes. The eyedrops cause blurred vision that lasts for several hours or a day.

The method used to test vision depends on your child's age and stage of development:","It's important to start treatment for lazy eye as soon as possible in childhood, when the complicated connections between the eye and the brain are forming. The best results occur when treatment starts before age 7, although half of children between the ages of 7 and 17 respond to treatment.

Treatment options depend on the cause of lazy eye and on how much the condition is affecting your child's vision. Your doctor might recommend:

Activity-based treatments — such as drawing, doing puzzles or playing computer games — are available. The effectiveness of adding these activities to other therapies hasn't been proved. Research into new treatments is ongoing.

For most children with lazy eye, proper treatment improves vision within weeks to months. Treatment might last from six months to two years.

It's important for your child to be monitored for recurrence of lazy eye — which can happen in up to 25 percent of children with the condition. If lazy eye recurs, treatment will need to start again.",,"Your child's doctor might refer you to a doctor who specializes in treating eye disorders in children (pediatric ophthalmologist).

Here's some information to help you get ready."
Chagas disease,https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212,https://www.mayoclinic.org/diseases-conditions/chagas-disease/diagnosis-treatment/drc-20356218,,"Your healthcare professional does a physical exam, asking about your symptoms and anything that put you at risk of Chagas disease. If you have symptoms of Chagas disease, two or more blood tests can confirm the diagnosis.

If you're diagnosed with Chagas disease, you're likely to have more tests. These tests can show whether the disease has become chronic and caused heart or digestive complications. Tests may include:","Treatment for Chagas disease is to kill the parasite and ease symptoms.

During the acute phase of Chagas disease, the medicines benznidazole and nifurtimox (Lampit) may help. Both medicines are offered in the regions most affected by Chagas disease. In the United States, the medicines are approved for treatment of children younger than 18 with chronic infection.

Once Chagas disease becomes chronic, medicines won't cure the disease. But the medicines may be offered to help slow the disease and its most serious complications.

Other treatment depends on the symptoms.",,"You are likely to start by seeing your main healthcare provider. You may then be sent to an infectious disease specialist.

Here's some information to help you get ready for your appointment."
Transient global amnesia,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/diagnosis-treatment/drc-20378535,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/doctors-departments/ddc-20378536,"To diagnose transient global amnesia, your health care provider must first rule out more-serious conditions. This can include stroke, seizure or head injury, for example. These conditions can cause the same type of memory loss.",No treatment is needed for transient global amnesia. It gets better without treatment and has no known lasting effects.,,"Anyone who experiences sudden loss of memory for all events leading up to the present needs emergency medical care. Call 911 or your local emergency number immediately.

If a friend or family member develops these symptoms in your presence, go with him or her to the hospital. Because he or she doesn't remember recent events, you'll need to provide important information to the doctor."
Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,https://www.mayoclinic.org/diseases-conditions/amnesia/diagnosis-treatment/drc-20353366,,"A comprehensive evaluation is needed to diagnose amnesia. It can rule out other possible causes of memory loss such as Alzheimer's disease, other forms of dementia, depression or a brain tumor.",Treatment for amnesia focuses on strategies to help make up for the memory problem. It's also important to address underlying diseases causing the amnesia.,"Living with amnesia can be frustrating for those with memory loss and for their family and friends too. People with more-severe forms of amnesia may require direct assistance from family, friends or professional caregivers.
It can be helpful to talk with others who understand what you're going through. They may be able to provide advice or tips on living with amnesia. Ask your health care provider to recommend a support group in your area for people with amnesia and their loved ones.
If an underlying cause for the amnesia is identified, there are national organizations that can provide additional information and support. Examples include:
Alzheimer's Association,800-272-3900(toll-free).
Brain Injury Association of America,800-444-6443(toll-free).","You're likely to start by seeing your primary care provider. However, you may then be referred to a specialist in disorders of the brain and nervous system, also called a neurologist.
It's a good idea to arrive at your appointment well prepared. Here's some information to help you get ready and to know what to expect."
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,https://www.mayoclinic.org/diseases-conditions/amyloidosis/diagnosis-treatment/drc-20353183,https://www.mayoclinic.org/diseases-conditions/amyloidosis/doctors-departments/ddc-20353186,"Amyloidosis is often overlooked because the signs and symptoms can mimic those of more-common diseases.
Early diagnosis can help prevent further organ damage. Precise diagnosis is important because treatment varies greatly, depending on your specific condition.","There's no cure for amyloidosis. But treatment can help manage signs and symptoms and limit further production of amyloid protein. If the amyloidosis has been triggered by another condition, such as rheumatoid arthritis or tuberculosis, treating the underlying condition can be helpful.",,You may be referred to a doctor who specializes in blood disorders (hematologist).
Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/diagnosis-treatment/drc-20355020,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/doctors-departments/ddc-20355023,"The following tests can help diagnose aplastic anemia:

Once you've received a diagnosis of aplastic anemia, you might need other tests to determine the cause.","Treatments for aplastic anemia depend on the symptoms and your age and overall health. Treatment options might include observation, blood transfusions, medicines or bone marrow transplantation. Severe aplastic anemia, in which your blood cell counts are extremely low, is life-threatening and requires immediate hospitalization.",Tips to help you and your family better cope with your illness include:,"Start by making an appointment with your primary care health professional. They might then refer you to a doctor who specializes in treating blood disorders called a hematologist. If aplastic anemia comes on suddenly, your treatment might begin in the emergency room.

Here's some information to help you get ready for your appointment."
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,https://www.mayoclinic.org/diseases-conditions/thalassemia/diagnosis-treatment/drc-20355001,https://www.mayoclinic.org/diseases-conditions/thalassemia/doctors-departments/ddc-20355004,"Most children with moderate to severe thalassemia show symptoms within their first two years of life. If your child's health care professional thinks your child might have thalassemia, blood tests can confirm it.

Blood tests can reveal the number of red blood cells and irregular changes in their size, shape or color. Blood tests also can be used to look for gene changes in DNA.","Mild forms of thalassemia trait don't need treatment.

For moderate to severe thalassemia, treatments might include:

Chelation therapy.This treatment removes extra iron from the blood. Iron can build up due to regular transfusions. Some people with thalassemia who don't have regular transfusions also can develop excess iron. Removing the excess iron is vital for your health.

To help rid your body of the extra iron, you might need to take medicine by mouth. The medicines include deferasirox (Exjade, Jadenu) or deferiprone (Ferriprox). Another drug called deferoxamine (Desferal) is given through a needle in a vein.

Other medicines.A medicine given by shot called luspatercept (Reblozyl) helps some people need fewer blood transfusions. A medicine taken by mouth called hydroxyurea (Hydrea, Droxia) can lower the chances of getting other health problems because of thalassemia.

Stem cell transplant.This also is called a bone marrow transplant. Sometimes, it might be a treatment option. For children with severe thalassemia, it can get rid of the need for lifelong blood transfusions and drugs to control iron overload.

A stem cell transplant involves receiving infusions of stem cells from a donor with matching cells, often a healthy sibling.","If you or your child has thalassemia, reach out for help when you need it. A member of your health care team can answer your questions or offer advice.

You also could think about joining a support group. This helps you meet other people affected by thalassemia. They can listen to your experiences, and they might be able to offer useful information. Ask a member of your health care team about groups in your area.","Most often, tests find moderate to severe forms of thalassemia within the first two years of life. If you've noticed some of the symptoms of thalassemia in your infant or child, see your child's pediatrician or the health care professional who cares for your family. You may be referred to a doctor who finds and treats blood disorders, called a hematologist.

Here's some information to help you get ready for your appointment."
Iron deficiency anemia,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/diagnosis-treatment/drc-20355040,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/doctors-departments/ddc-20355041,"To diagnose iron deficiency anemia, your doctor may run tests to look for:","To treat iron deficiency anemia, your doctor may recommend that you take iron supplements. Your doctor will also treat the underlying cause of your iron deficiency, if necessary.",,"Make an appointment with your doctor if you have any signs and symptoms that worry you. If you're diagnosed with iron deficiency anemia, you may need tests to look for a source of blood loss, including tests to examine your gastrointestinal tract.

Here's some information to help you get ready for your appointment, and what to expect from your doctor."
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,https://www.mayoclinic.org/diseases-conditions/thalassemia/diagnosis-treatment/drc-20355001,https://www.mayoclinic.org/diseases-conditions/thalassemia/doctors-departments/ddc-20355004,"Most children with moderate to severe thalassemia show symptoms within their first two years of life. If your child's health care professional thinks your child might have thalassemia, blood tests can confirm it.

Blood tests can reveal the number of red blood cells and irregular changes in their size, shape or color. Blood tests also can be used to look for gene changes in DNA.","Mild forms of thalassemia trait don't need treatment.

For moderate to severe thalassemia, treatments might include:

Chelation therapy.This treatment removes extra iron from the blood. Iron can build up due to regular transfusions. Some people with thalassemia who don't have regular transfusions also can develop excess iron. Removing the excess iron is vital for your health.

To help rid your body of the extra iron, you might need to take medicine by mouth. The medicines include deferasirox (Exjade, Jadenu) or deferiprone (Ferriprox). Another drug called deferoxamine (Desferal) is given through a needle in a vein.

Other medicines.A medicine given by shot called luspatercept (Reblozyl) helps some people need fewer blood transfusions. A medicine taken by mouth called hydroxyurea (Hydrea, Droxia) can lower the chances of getting other health problems because of thalassemia.

Stem cell transplant.This also is called a bone marrow transplant. Sometimes, it might be a treatment option. For children with severe thalassemia, it can get rid of the need for lifelong blood transfusions and drugs to control iron overload.

A stem cell transplant involves receiving infusions of stem cells from a donor with matching cells, often a healthy sibling.","If you or your child has thalassemia, reach out for help when you need it. A member of your health care team can answer your questions or offer advice.

You also could think about joining a support group. This helps you meet other people affected by thalassemia. They can listen to your experiences, and they might be able to offer useful information. Ask a member of your health care team about groups in your area.","Most often, tests find moderate to severe forms of thalassemia within the first two years of life. If you've noticed some of the symptoms of thalassemia in your infant or child, see your child's pediatrician or the health care professional who cares for your family. You may be referred to a doctor who finds and treats blood disorders, called a hematologist.

Here's some information to help you get ready for your appointment."
Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/diagnosis-treatment/drc-20355882,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/doctors-departments/ddc-20355885,"A blood test can check for the form of hemoglobin that underlies sickle cell anemia. In the United States, this blood test is part of routine newborn screening. But older children and adults can get the test too.

In adults, a blood sample is taken from a vein in the arm. In young children and babies, the blood sample is usually collected from a finger or heel. The sample then goes to a laboratory to be screened for the sickle cell form of hemoglobin.

If you or your child has sickle cell anemia, your healthcare professional might suggest other tests to check for possible complications of the disease.

If you or your child carries the sickle cell gene, you'll likely be referred to a genetic counselor.","Management of sickle cell anemia is usually aimed at avoiding pain episodes, relieving symptoms and preventing complications. Treatments might include medicines and blood transfusions. For some children and teenagers, a stem cell transplant might cure the disease. Gene therapies also are being developed that may offer cures for people with sickle cell disease.","If you or someone in your family has sickle cell anemia, these ideas might help you cope:","Sickle cell anemia is usually diagnosed through genetic screening done when a baby is born. Those test results will likely be given to your primary healthcare professional, who may refer you to a doctor who specializes in blood disorders, called a hematologist, or a pediatric hematologist.

Here's information to help you get ready for your appointment."
Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/diagnosis-treatment/drc-20355031,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/doctors-departments/ddc-20355032,"To help diagnose vitamin deficiency anemias, you might have blood tests that check for:","Vitamin deficiency anemia is treated with doses of whichever vitamin is lacking. For pernicious anemia, vitamin B-12 is usually delivered via injection and may need to be taken regularly for the rest of your life.

Vitamin B-12 is available as:

Medications to boost folate levels usually come as pills to be swallowed, but some versions can be delivered through a narrow, flexible tube into a vein (intravenously).",,"If you suspect that you have vitamin deficiency anemia, you're likely to start by seeing your family doctor or a general practitioner. However, in some cases, you may be referred to a doctor who specializes in treating blood disorders (hematologist).

Here's some information to help you get ready for your appointment and what to expect from your doctor."
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/diagnosis-treatment/drc-20350693,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/doctors-departments/ddc-20350695,"Abdominal aortic aneurysms are often found when a physical exam or imaging test is done for another reason.
To diagnose an abdominal aortic aneurysm, a healthcare professional examines you and asks questions about your medical and family history.","The goal of abdominal aortic aneurysm treatment is to prevent an aneurysm from rupturing. Treatment may involve:
Frequent health checkups and imaging, called medical monitoring or watchful waiting.
Surgery.
Which treatment you have depends on the size of the abdominal aortic aneurysm and how fast it's growing.",,"Make an appointment with your healthcare professional if you are concerned about your risk of an abdominal aortic aneurysm. If you're having severe pain, get emergency medical help.
Here's some information to help you get ready for your appointment."
Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472,,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/doctors-departments/ddc-20369475,,,,
Brain aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/diagnosis-treatment/drc-20361595,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/doctors-departments/ddc-20361659,"Screening tests and procedures used to detect and diagnose brain aneurysms include:
CT scan.This specialized X-ray is usually the first test used to assess for bleeding in the brain or another type of stroke. The test produces images that are 2D slices of the brain.A CT angiogram can create detailed images of the arteries providing blood flow in the brain. The test involves injecting dye into the vein that makes it easier to observe blood flow. It also can detect the presence of an aneurysm.
Lumbar puncture, known as a spinal tap.If you've had a subarachnoid hemorrhage, there will most likely be red blood cells in the fluid surrounding your brain and spine. This fluid is called cerebrospinal fluid. If you have symptoms of a ruptured aneurysm but a CT scan doesn't show evidence of bleeding, a test of your cerebrospinal fluid can help make a diagnosis.The procedure to draw cerebrospinal fluid from your back with a needle is called a lumbar puncture.
MRI.This imaging test uses a magnetic field and radio waves to create detailed images of the brain. These images may be either 2D or 3D images and can show if there's bleeding in the brain.A type of MRI that captures images of the arteries in detail is called MR angiography. This type of MRI can detect the size, shape and location of an aneurysm.
Cerebral angiogram.During this procedure, a thin, flexible tube called a catheter is used. The catheter is inserted into an artery, usually in the groin or the wrist. The catheter threads past your heart to the arteries in your brain. A special dye injected into the catheter travels to arteries throughout your brain.A series of X-rays can then reveal details about the conditions of your arteries and detect an aneurysm. A cerebral angiogram — also called a cerebral arteriogram — is usually used when other diagnostic tests don't provide enough information.","Repairing a ruptured aneurysm requires surgery or endovascular treatment. Endovascular treatment means an aneurysm is treated from inside the artery. You also may be given treatments to relieve symptoms.
If you have an unruptured aneurysm, talk with your healthcare professional about possible treatments. Talk about whether the risk of leaving the aneurysm alone is greater than the risk of treating the aneurysm.
Factors that your healthcare team considers before making treatment recommendations include:
The aneurysm size, location and overall appearance of the aneurysm.
Your age and general health.
Family history of ruptured aneurysm.
Conditions you were born with that increase the risk of a ruptured aneurysm.",TheBrain Aneurysm Foundationoffers information on connecting with support groups in many states and in other countries.,"If test results show you have a brain aneurysm, you'll need to talk with a specialist in brain and nervous system conditions. These specialists include neurologists, neurosurgeons and neuroradiologists.
Here's some information to help you get ready for your appointment."
Popliteal artery aneurysm,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/symptoms-causes/syc-20355432,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/diagnosis-treatment/drc-20528724,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/doctors-departments/ddc-20355434,"To diagnose popliteal artery aneurysm, a health care professional usually does a physical exam and checks the legs for:
Swelling.
Tenderness.
Changes in skin color or temperature on the lower leg and behind the knee.
You may be asked questions about your medical history and health habits, such as smoking.","Treatment of popliteal artery aneurysm depends on:
The size of the aneurysm.
The symptoms.
Your age and overall health.
Treatment may include:
Regular health checkups.You'll have frequent checkups and ultrasound tests to check the aneurysm, particularly if the aneurysm is small.
Medicines.Aspirin or another blood thinner is usually prescribed for people with popliteal artery aneurysm. Medicines may need to be given through a vein. Blood pressure and cholesterol medicine may be given if you have symptoms of heart disease.
Surgery.Open surgery to repair the damaged artery is generally recommended for any sized popliteal artery aneurysm that's causing symptoms. Surgery is usually done for any popliteal artery aneurysm that's 0.8 inches (2 centimeters) or larger. Sometimes, a less invasive procedure called endovascular repair may be done. During this treatment, a stent is placed inside the popliteal artery to hold it open.",,
Thoracic aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/diagnosis-treatment/drc-20350193,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/doctors-departments/ddc-20350196,"Thoracic aortic aneurysms often don't have symptoms. So they can be hard to diagnose. They are often found when an imaging test is done for a different reason.
If you have a thoracic aortic aneurysm, your healthcare professional may ask about your family's medical history. Some aneurysms can run in families.","The goals of treatment for a thoracic aortic aneurysm are to:
Stop the aneurysm from growing.
Prevent aortic rupture.
Treatment depends on the aneurysm's size and how fast it's growing.
Treatment for thoracic aortic aneurysm may include:
Regular health checkups, sometimes called watchful waiting.
Medicines.
Surgery.",You may find that connecting with others who have experienced similar situations may be helpful. Ask your healthcare team about support groups in your area.,"If you have a family history of thoracic aortic aneurysms or conditions linked to them, make an appointment for a health checkup. If an aneurysm is found early, treatment may be easier and more effective.
Appointments can be brief and there's often a lot to talk about. So it's a good idea to be prepared. Here's some information to help you get ready for your appointment."
Vasculitis,https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435,https://www.mayoclinic.org/diseases-conditions/vasculitis/diagnosis-treatment/drc-20363485,https://www.mayoclinic.org/diseases-conditions/vasculitis/doctors-departments/ddc-20363525,"Diagnosis starts with a medical history and a physical exam. You may have one or more tests and procedures. These can either diagnose vasculitis or rule out other conditions that cause some of the same symptoms. Tests and procedures might include:
Blood tests.These tests look for signs of inflammation, such as a high level of C-reactive protein. A complete blood cell count can tell whether you have enough red blood cells. Other blood tests, such as the antineutrophil cytoplasmic antibody (ANCA) test, can look for certain antibodies. These tests can help diagnose vasculitis.
Imaging tests.Imaging tests can show which blood vessels and organs are affected. They also can help your healthcare professional know how you respond to treatment. Imaging tests for vasculitis include X-rays, ultrasounds, CT scans, MRIs and positron emission tomography (PET) scans.
X-rays of your blood vessels.During this procedure, called angiography, a flexible catheter resembling a thin straw goes into a large artery or vein. A special dye goes into the catheter. You have X-rays taken as the dye fills the artery or vein. The X-rays show the outlines of your blood vessels.
Biopsy.This is a surgery in which a healthcare professional removes a small sample of tissue from the affected area of your body. Your health professional then looks at the tissue for signs of vasculitis.","Treatment aims to control the swelling and irritation, called inflammation. It also aims to manage the conditions that may be causing the vasculitis.
Most types of vasculitis can come back. This is called a flare. So your healthcare professional may need to follow you a long time after your symptoms go away.","Coping with the side effects of the medicines you take to treat your vasculitis might be one of the hardest things about living with the condition. Some of these tips might help:
Know about your condition.Learn all you can about vasculitis and its treatment. Know the possible side effects of the medicines you take. Tell your healthcare professional about any changes in your health.
Follow your treatment plan.Your plan may include seeing your health professional often, having more tests and checking your blood pressure.
Eat well.Eating healthy foods can help prevent some of the problems your medicines can cause. This might include thinning bones, high blood pressure and diabetes. Eat mainly fresh fruits and vegetables, whole grains, low-fat dairy products, and lean meats and fish. If you're taking a corticosteroid medicine, ask your healthcare professional if you need to take a vitamin D or calcium supplement.
Get vaccinations.Some medicines to treat vasculitis raise your risk of infections. These include flu, pneumonia, shingles and COVID-19. Keeping up to date on vaccinations can help. Talk with your healthcare professional about which vaccinations to get.
Exercise most days of the week.Regular aerobic exercise, such as walking, can help prevent conditions that can be linked to taking corticosteroids. These include bone loss, high blood pressure and diabetes. Regular exercise also helps your heart and lungs.Many people also find that exercise improves their mood and sense of well-being. If you're not used to exercising, start out and build up slowly. Your healthcare professional can help you plan an exercise program that's right for you.
Ask others to help.Family and friends can help you cope with this condition. You also might find it helpful to talk with others who have vasculitis. Ask a member of your healthcare team about support groups.","Make an appointment with your main healthcare professional if you have symptoms that worry you. For vasculitis, you may need to see specialists. They might include:
Rheumatologists, who specialize in joints, muscles and autoimmune diseases.
Neurologists, who specialize in the brain and nervous system.
Ophthalmologists, who specialize in the eyes.
Cardiologists, who specialize in the heart.
Nephrologists, who specialize in the kidneys.
Pulmonologists, who specialize in the lungs.
Dermatologists, who specialize in the skin.
Urologists, who specialize in the urinary tract and urogenital systems.
Otorhinolaryngologists, who specialize in the ears and sinuses."
Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,https://www.mayoclinic.org/diseases-conditions/angina/diagnosis-treatment/drc-20369378,https://www.mayoclinic.org/diseases-conditions/angina/doctors-departments/ddc-20369379,"To diagnose angina, a healthcare professional examines you and asks questions about your symptoms. You are usually asked about any risk factors, including whether you have a family history of heart disease.","Options for angina treatment include:
Lifestyle changes such as eating a healthy diet and exercising.
Medicines.
Angioplasty and stenting.
Open-heart surgery called coronary artery bypass grafting (CABG).
The goals of angina treatment are to:
Reduce the number of angina episodes.
Make symptoms less severe.
Lower the risk of a heart attack and death.
You will need immediate treatment if you have unstable angina or chest pain that's different from what you usually have.",,"If you have sudden chest pain, call 911 or your local emergency number immediately.
If you have a strong family history of heart disease, make an appointment for a health checkup.
Appointments can be brief, and there's often a lot to discuss. So it's a good idea to take steps to prepare for your appointment. Here's some information to help you get ready and what to expect during your visit."
Hives and angioedema,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/symptoms-causes/syc-20354908,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/diagnosis-treatment/drc-20354914,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/doctors-departments/ddc-20354916,"To diagnose hives or angioedema, your doctor will likely look at your welts or areas of swelling and ask about your medical history. You may also need blood tests or an allergy skin test.","If your symptoms are mild, you may not need treatment. Hives and angioedema often clear up on their own. But treatment can offer relief from intense itching, serious discomfort or symptoms that persist.",,"You're likely to start by seeing your primary care doctor. In some cases when you call to set up an appointment, you may be referred immediately to a skin disease specialist (dermatologist) or to an allergy specialist."
Castleman disease,https://www.mayoclinic.org/diseases-conditions/castleman-disease/symptoms-causes/syc-20543017,https://www.mayoclinic.org/diseases-conditions/castleman-disease/diagnosis-treatment/drc-20543055,https://www.mayoclinic.org/diseases-conditions/castleman-disease/doctors-departments/ddc-20543066,"After reviewing your medical history and doing a detailed physical exam, your healthcare professional may recommend:
Blood and urine tests.These help rule out other infections or diseases. These tests also can find anemia and changes in blood proteins that can be typical of Castleman disease.
Imaging tests.These tests can find enlarged lymph nodes or an enlarged liver or spleen. A CT scan of the neck, chest, abdomen and pelvis may be used. A positron emission tomography scan, also known as a PET scan, may be used to diagnose Castleman disease. PET scans also can show whether a treatment is working.
Lymph node biopsy.This test is essential to diagnose Castleman disease and rule out related disorders, such as lymphoma. In a biopsy, a tissue sample from an enlarged lymph node is removed and looked at in a laboratory.",Treatment depends on the type of Castleman disease you have.,,You may be referred to a doctor trained in treating blood disorders. This type of doctor is called a hematologist.
Broken ankle,https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025,https://www.mayoclinic.org/diseases-conditions/broken-ankle/diagnosis-treatment/drc-20450038,https://www.mayoclinic.org/diseases-conditions/broken-ankle/doctors-departments/ddc-20450053,"Your doctor will examine your ankle to check for points of tenderness. The precise location of your pain can help determine its cause.

Your doctor may move your foot into different positions to check your range of motion. You may be asked to walk for a short distance so that your doctor can examine your gait.","Treatments for a broken ankle will vary, depending on which bone has been broken and the severity of the injury.",,"You will likely initially seek treatment for a broken ankle in an emergency room or urgent care clinic. If the pieces of broken bone aren't lined up properly for healing, you may be referred to a doctor specializing in orthopedic surgery."
