disease,main_link,Diagnosis_treatment_link,Doctors_departments_link
Frozen shoulder,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/diagnosis-treatment/drc-20372690,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/doctors-departments/ddc-20372691
Childhood schizophrenia,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/diagnosis-treatment/drc-20354489,
Benign adrenal tumors,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/diagnosis-treatment/drc-20567035,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/doctors-departments/ddc-20356192
Autoimmune encephalitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/symptoms-causes/syc-20576380,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/diagnosis-treatment/drc-20576406,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/doctors-departments/ddc-20576425
Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060,
Dry macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/diagnosis-treatment/drc-20350381,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/doctors-departments/ddc-20350384
"Macular degeneration, wet",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/diagnosis-treatment/drc-20351113,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/doctors-departments/ddc-20351115
Myelofibrosis,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/diagnosis-treatment/drc-20355062,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/doctors-departments/ddc-20355064
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/doctors-departments/ddc-20363037
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,https://www.mayoclinic.org/diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531,https://www.mayoclinic.org/diseases-conditions/hiv-aids/doctors-departments/ddc-20373532
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/doctors-departments/ddc-20369252
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/diagnosis-treatment/drc-20351394,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/doctors-departments/ddc-20351395
Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/diagnosis-treatment/drc-20353765,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/doctors-departments/ddc-20353768
Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/diagnosis-treatment/drc-20353765,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/doctors-departments/ddc-20353768
Hay fever,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,https://www.mayoclinic.org/diseases-conditions/hay-fever/diagnosis-treatment/drc-20373045,https://www.mayoclinic.org/diseases-conditions/hay-fever/doctors-departments/ddc-20373046
Dust mite allergy,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,https://www.mayoclinic.org/diseases-conditions/dust-mites/diagnosis-treatment/drc-20352178,
Egg allergy,https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115,https://www.mayoclinic.org/diseases-conditions/egg-allergy/diagnosis-treatment/drc-20372119,
Food allergy,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,https://www.mayoclinic.org/diseases-conditions/food-allergy/diagnosis-treatment/drc-20355101,https://www.mayoclinic.org/diseases-conditions/food-allergy/doctors-departments/ddc-20355105
Latex allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,https://www.mayoclinic.org/diseases-conditions/latex-allergy/diagnosis-treatment/drc-20374291,https://www.mayoclinic.org/diseases-conditions/latex-allergy/doctors-departments/ddc-20374292
Milk allergy,https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101,https://www.mayoclinic.org/diseases-conditions/milk-allergy/diagnosis-treatment/drc-20375106,
Mold allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,https://www.mayoclinic.org/diseases-conditions/mold-allergy/diagnosis-treatment/drc-20351525,
Nickel allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/diagnosis-treatment/drc-20351534,
Peanut allergy,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/diagnosis-treatment/drc-20376181,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/doctors-departments/ddc-20376182
Penicillin allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/diagnosis-treatment/drc-20376226,
Pet allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,https://www.mayoclinic.org/diseases-conditions/pet-allergy/diagnosis-treatment/drc-20352198,https://www.mayoclinic.org/diseases-conditions/pet-allergy/doctors-departments/ddc-20352200
Shellfish allergy,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/diagnosis-treatment/drc-20377507,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/doctors-departments/ddc-20377508
Wheat allergy,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/symptoms-causes/syc-20378897,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/diagnosis-treatment/drc-20378902,
Hair loss,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,https://www.mayoclinic.org/diseases-conditions/hair-loss/doctors-departments/ddc-20372934
Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/diagnosis-treatment/drc-20354027,https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/doctors-departments/ddc-20354029
Dry socket,https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376,https://www.mayoclinic.org/diseases-conditions/dry-socket/diagnosis-treatment/drc-20354382,
Atypical genitalia,https://www.mayoclinic.org/diseases-conditions/atypical-genitalia/symptoms-causes/syc-20369273,https://www.mayoclinic.org/diseases-conditions/atypical-genitalia/diagnosis-treatment/drc-20369278,
Lazy eye (amblyopia),https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391,https://www.mayoclinic.org/diseases-conditions/lazy-eye/diagnosis-treatment/drc-20352396,https://www.mayoclinic.org/diseases-conditions/lazy-eye/doctors-departments/ddc-20352397
Chagas disease,https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212,https://www.mayoclinic.org/diseases-conditions/chagas-disease/diagnosis-treatment/drc-20356218,
Transient global amnesia,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/diagnosis-treatment/drc-20378535,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/doctors-departments/ddc-20378536
Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,https://www.mayoclinic.org/diseases-conditions/amnesia/diagnosis-treatment/drc-20353366,
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,https://www.mayoclinic.org/diseases-conditions/amyloidosis/diagnosis-treatment/drc-20353183,https://www.mayoclinic.org/diseases-conditions/amyloidosis/doctors-departments/ddc-20353186
Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/diagnosis-treatment/drc-20355020,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/doctors-departments/ddc-20355023
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,https://www.mayoclinic.org/diseases-conditions/thalassemia/diagnosis-treatment/drc-20355001,https://www.mayoclinic.org/diseases-conditions/thalassemia/doctors-departments/ddc-20355004
Iron deficiency anemia,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/diagnosis-treatment/drc-20355040,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/doctors-departments/ddc-20355041
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,https://www.mayoclinic.org/diseases-conditions/thalassemia/diagnosis-treatment/drc-20355001,https://www.mayoclinic.org/diseases-conditions/thalassemia/doctors-departments/ddc-20355004
Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/diagnosis-treatment/drc-20355882,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/doctors-departments/ddc-20355885
Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/diagnosis-treatment/drc-20355031,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/doctors-departments/ddc-20355032
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/diagnosis-treatment/drc-20350693,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/doctors-departments/ddc-20350695
Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472,,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/doctors-departments/ddc-20369475
Brain aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/diagnosis-treatment/drc-20361595,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/doctors-departments/ddc-20361659
Popliteal artery aneurysm,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/symptoms-causes/syc-20355432,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/diagnosis-treatment/drc-20528724,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/doctors-departments/ddc-20355434
Thoracic aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/diagnosis-treatment/drc-20350193,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/doctors-departments/ddc-20350196
Vasculitis,https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435,https://www.mayoclinic.org/diseases-conditions/vasculitis/diagnosis-treatment/drc-20363485,https://www.mayoclinic.org/diseases-conditions/vasculitis/doctors-departments/ddc-20363525
Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,https://www.mayoclinic.org/diseases-conditions/angina/diagnosis-treatment/drc-20369378,https://www.mayoclinic.org/diseases-conditions/angina/doctors-departments/ddc-20369379
Hives and angioedema,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/symptoms-causes/syc-20354908,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/diagnosis-treatment/drc-20354914,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/doctors-departments/ddc-20354916
Castleman disease,https://www.mayoclinic.org/diseases-conditions/castleman-disease/symptoms-causes/syc-20543017,https://www.mayoclinic.org/diseases-conditions/castleman-disease/diagnosis-treatment/drc-20543055,https://www.mayoclinic.org/diseases-conditions/castleman-disease/doctors-departments/ddc-20543066
Broken ankle,https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025,https://www.mayoclinic.org/diseases-conditions/broken-ankle/diagnosis-treatment/drc-20450038,https://www.mayoclinic.org/diseases-conditions/broken-ankle/doctors-departments/ddc-20450053
Sprained ankle,https://www.mayoclinic.org/diseases-conditions/sprained-ankle/symptoms-causes/syc-20353225,https://www.mayoclinic.org/diseases-conditions/sprained-ankle/diagnosis-treatment/drc-20353231,https://www.mayoclinic.org/diseases-conditions/sprained-ankle/doctors-departments/ddc-20353232
Tongue-tie (ankyloglossia),https://www.mayoclinic.org/diseases-conditions/tongue-tie/symptoms-causes/syc-20378452,https://www.mayoclinic.org/diseases-conditions/tongue-tie/diagnosis-treatment/drc-20378456,https://www.mayoclinic.org/diseases-conditions/tongue-tie/doctors-departments/ddc-20378457
Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/diagnosis-treatment/drc-20353597,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/doctors-departments/ddc-20353601
ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,https://www.mayoclinic.org/diseases-conditions/acl-injury/diagnosis-treatment/drc-20350744,https://www.mayoclinic.org/diseases-conditions/acl-injury/doctors-departments/ddc-20350745
Anterior vaginal prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452,https://www.mayoclinic.org/diseases-conditions/cystocele/diagnosis-treatment/drc-20369457,https://www.mayoclinic.org/diseases-conditions/cystocele/doctors-departments/ddc-20369459
Pseudomembranous colitis,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/symptoms-causes/syc-20351434,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/diagnosis-treatment/drc-20351439,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/doctors-departments/ddc-20351441
Generalized anxiety disorder,https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/symptoms-causes/syc-20360803,https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/diagnosis-treatment/drc-20361045,https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/doctors-departments/ddc-20361094
Social anxiety disorder (social phobia),https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561,https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/diagnosis-treatment/drc-20353567,https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/doctors-departments/ddc-20353570
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/diagnosis-treatment/drc-20350693,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/doctors-departments/ddc-20350695
Coarctation of the aorta,https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529,https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/diagnosis-treatment/drc-20352535,https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/doctors-departments/ddc-20352537
Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/diagnosis-treatment/drc-20353135,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/doctors-departments/ddc-20353137
Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/diagnosis-treatment/drc-20353135,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/doctors-departments/ddc-20353137
Auditory processing disorder,https://www.mayoclinic.org/diseases-conditions/auditory-processing-disorder/symptoms-causes/syc-20555261,https://www.mayoclinic.org/diseases-conditions/auditory-processing-disorder/diagnosis-treatment/drc-20555277,https://www.mayoclinic.org/diseases-conditions/auditory-processing-disorder/doctors-departments/ddc-20555296
Primary progressive aphasia,https://www.mayoclinic.org/diseases-conditions/primary-progressive-aphasia/symptoms-causes/syc-20350499,https://www.mayoclinic.org/diseases-conditions/primary-progressive-aphasia/diagnosis-treatment/drc-20350504,https://www.mayoclinic.org/diseases-conditions/primary-progressive-aphasia/doctors-departments/ddc-20350506
Canker sore,https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615,https://www.mayoclinic.org/diseases-conditions/canker-sore/diagnosis-treatment/drc-20370620,https://www.mayoclinic.org/diseases-conditions/canker-sore/doctors-departments/ddc-20370621
Canker sore,https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615,https://www.mayoclinic.org/diseases-conditions/canker-sore/diagnosis-treatment/drc-20370620,https://www.mayoclinic.org/diseases-conditions/canker-sore/doctors-departments/ddc-20370621
Broken heart syndrome,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/symptoms-causes/syc-20354617,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/diagnosis-treatment/drc-20354623,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/doctors-departments/ddc-20354624
Antiphospholipid syndrome,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/diagnosis-treatment/drc-20355836,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/doctors-departments/ddc-20355838
Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/diagnosis-treatment/drc-20351266,
Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/diagnosis-treatment/drc-20351266,
Broken arm,https://www.mayoclinic.org/diseases-conditions/broken-arm/symptoms-causes/syc-20353260,https://www.mayoclinic.org/diseases-conditions/broken-arm/diagnosis-treatment/drc-20353266,https://www.mayoclinic.org/diseases-conditions/broken-arm/doctors-departments/ddc-20353267
Chiari malformation,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/symptoms-causes/syc-20354010,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/diagnosis-treatment/drc-20354015,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/doctors-departments/ddc-20354016
Heart arrhythmia,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/symptoms-causes/syc-20350668,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/diagnosis-treatment/drc-20350674,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/doctors-departments/ddc-20350677
Giant cell arteritis,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/symptoms-causes/syc-20372758,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/diagnosis-treatment/drc-20372764,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/doctors-departments/ddc-20372765
Takayasu's arteritis,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/symptoms-causes/syc-20351335,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/diagnosis-treatment/drc-20351340,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/doctors-departments/ddc-20351342
Thumb arthritis,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/diagnosis-treatment/drc-20378344,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/doctors-departments/ddc-20378345
Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/diagnosis-treatment/drc-20351930,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/doctors-departments/ddc-20351933
Gout,https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897,https://www.mayoclinic.org/diseases-conditions/gout/diagnosis-treatment/drc-20372903,https://www.mayoclinic.org/diseases-conditions/gout/doctors-departments/ddc-20372904
Septic arthritis,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/diagnosis-treatment/drc-20350760,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/doctors-departments/ddc-20350761
Juvenile idiopathic arthritis,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374082,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/diagnosis-treatment/drc-20374088,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/doctors-departments/ddc-20374089
Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/diagnosis-treatment/drc-20351930,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/doctors-departments/ddc-20351933
Psoriatic arthritis,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/diagnosis-treatment/drc-20354081,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/doctors-departments/ddc-20354084
Reactive arthritis,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/diagnosis-treatment/drc-20354843,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/doctors-departments/ddc-20354844
Rheumatoid arthritis,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/diagnosis-treatment/drc-20353653,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/doctors-departments/ddc-20353657
Septic arthritis,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/diagnosis-treatment/drc-20350760,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/doctors-departments/ddc-20350761
Thumb arthritis,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/diagnosis-treatment/drc-20378344,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/doctors-departments/ddc-20378345
Atrial septal defect (ASD),https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715,https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/diagnosis-treatment/drc-20369720,https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/doctors-departments/ddc-20369722
Autism spectrum disorder,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/symptoms-causes/syc-20352928,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/diagnosis-treatment/drc-20352934,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/doctors-departments/ddc-20352937
Avascular necrosis (osteonecrosis),https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859,https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/diagnosis-treatment/drc-20369863,https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/doctors-departments/ddc-20369864
Childhood asthma,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/diagnosis-treatment/drc-20351513,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/doctors-departments/ddc-20351517
Exercise-induced asthma,https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/symptoms-causes/syc-20372300,https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/diagnosis-treatment/drc-20372306,https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/doctors-departments/ddc-20372307
Occupational asthma,https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772,https://www.mayoclinic.org/diseases-conditions/occupational-asthma/diagnosis-treatment/drc-20375777,https://www.mayoclinic.org/diseases-conditions/occupational-asthma/doctors-departments/ddc-20375778
Atrial tachycardia,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/symptoms-causes/syc-20573298,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/diagnosis-treatment/drc-20573299,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/doctors-departments/ddc-20573300
Arteriosclerosis / atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/diagnosis-treatment/drc-20350575,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/doctors-departments/ddc-20350578
Atrioventricular canal defect,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/diagnosis-treatment/drc-20361528,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/doctors-departments/ddc-20362272
Vaginal atrophy,https://www.mayoclinic.org/diseases-conditions/vaginal-atrophy/symptoms-causes/syc-20352288,https://www.mayoclinic.org/diseases-conditions/vaginal-atrophy/diagnosis-treatment/drc-20352294,https://www.mayoclinic.org/diseases-conditions/vaginal-atrophy/doctors-departments/ddc-20352297
